date_date,orders_id,products_id,turnover,qty
2021-04-01,825445,71412,7.44,1
2021-04-01,825445,76035,3.13,1
2021-04-01,825445,76469,2.44,1
2021-04-01,825445,79818,6.38,1
2021-04-01,825445,88420,8.15,1
2021-04-01,825445,110070,5.62,1
2021-04-01,825445,115750,1.91,2
2021-04-01,825445,115758,2.09,2
2021-04-01,825445,116250,15.07,1
2021-04-01,825445,117076,8.14,1
2021-04-01,825445,120390,4.06,1
2021-04-01,825446,27891,18.29,1
2021-04-01,825446,110727,10.25,1
2021-04-01,825447,113411,6.76,1
2021-04-01,825447,122562,7.34,1
2021-04-01,825448,5714,10.55,2
2021-04-01,825448,9616,2.47,1
2021-04-01,825448,70377,7.69,4
2021-04-01,825448,80785,1.49,1
2021-04-01,825448,84031,25.33,1
2021-04-01,825448,109531,2.83,1
2021-04-01,825448,109565,14.23,3
2021-04-01,825448,118540,14.62,6
2021-04-01,825448,122139,4.21,1
2021-04-01,825448,122146,3.01,1
2021-04-01,825449,76413,1.76,1
2021-04-01,825449,77176,20.12,1
2021-04-01,825449,87231,1.48,1
2021-04-01,825449,90909,1.74,1
2021-04-01,825449,104595,4.18,1
2021-04-01,825449,119446,5.02,1
2021-04-01,825450,7360,1.74,1
2021-04-01,825450,7362,11.21,1
2021-04-01,825450,30314,14.88,2
2021-04-01,825450,44522,8.46,1
2021-04-01,825450,105174,2.34,1
2021-04-01,825451,5772,3.67,1
2021-04-01,825451,10529,1.85,1
2021-04-01,825451,10572,3.81,1
2021-04-01,825451,19790,3.51,4
2021-04-01,825451,19838,6.78,1
2021-04-01,825451,30607,5.11,1
2021-04-01,825451,43810,4.43,1
2021-04-01,825451,46758,7.44,2
2021-04-01,825451,48180,8.12,3
2021-04-01,825451,76035,3.13,1
2021-04-01,825451,76046,15.36,2
2021-04-01,825451,78431,2.93,1
2021-04-01,825451,87242,5.24,1
2021-04-01,825451,87636,4.51,1
2021-04-01,825451,89633,1.96,1
2021-04-01,825451,109309,9.2,1
