date_date,campaign_name,ads_cost
2021-04-11,FR - SHP - AB - Maison - Smart,200
2021-04-11,FR - SHP - AB - Santé & Bien-être - Smart,152
2021-04-11,FR - SHP - AB - Top Marge - Smart,31
2021-04-11,FR - SHP - All Products,72
2021-04-11,FR - SHP - All Products - Smart,900
2021-04-11,FR - SHP - Couche - Smart,52
2021-04-11,FR - TXT - B - Marques,170
2021-04-11,FR - TXT - BN - Marque Greenweez,232
2021-04-11,FR - TXT - G - Générique Bio,111
2021-04-11,FR - TXT - GC - Génériques - Alimentation Bébé Bio,17
2021-04-11,FR - TXT - GC - Génériques - Beauté & Hygiène,24
2021-04-11,FR - TXT - GC - Génériques - Cuisine,64
2021-04-11,FR - TXT - GC - Génériques - Enfant,16
2021-04-11,FR - TXT - GC - Génériques - Entretien,46
2021-04-11,FR - TXT - GC - Génériques - Epicerie,31
2021-04-11,IA - COM - [ENG - ACQ] - Boost,60
2021-04-11,IA - COM - [PUR - ACQ],86
2021-04-11,IA - COM - [PUR - ACQ] - DABA,124
2021-04-11,IA - COM - [PUR - RT] - Clients Existants,61
2021-04-11,IA - COM - [PUR - RT] - DPA ex clients,106
2021-04-11,IA - COM - [PUR - RT] - Site & CRM,67
2021-04-11,IA - COM - [VID - ACQ],45
2021-04-11,criteo_audience_tv,83
2021-04-11,criteo_lower_funnel,44
2021-04-11,criteo_mid_funnel,21
2021-04-11,criteo_seg_occasionnels,14
2021-04-12,CH - SHP - All Products,20
2021-04-12,FR - DSA - Page Feed - Product,400
2021-04-12,FR - SHP - AB - Beaute & Hygiene - Smart,96
2021-04-12,FR - SHP - AB - Enfant,6
2021-04-12,FR - SHP - AB - Entretien,51
2021-04-12,FR - SHP - AB - Epicerie Salée,46
2021-04-12,FR - SHP - AB - Epicerie Sucrée,25
2021-04-12,FR - SHP - AB - Extérieur,1
2021-04-12,FR - SHP - AB - Maison - Smart,164
2021-04-12,FR - SHP - AB - Santé & Bien-être - Smart,126
2021-04-12,FR - SHP - AB - Top Marge - Smart,17
2021-04-12,FR - SHP - All Products,68
2021-04-12,FR - SHP - All Products - Smart,780
2021-04-12,FR - SHP - Couche - Smart,68
2021-04-12,FR - TXT - B - Marques,199
2021-04-12,FR - TXT - BN - Marque Greenweez,200
2021-04-12,FR - TXT - G - Générique Bio,76
2021-04-12,FR - TXT - GC - Génériques - Alimentation Bébé Bio,15
2021-04-12,FR - TXT - GC - Génériques - Beauté & Hygiène,15
2021-04-12,FR - TXT - GC - Génériques - Cuisine,40
2021-04-12,FR - TXT - GC - Génériques - Enfant,11
2021-04-12,FR - TXT - GC - Génériques - Entretien,46
2021-04-12,FR - TXT - GC - Génériques - Epicerie,31
2021-04-12,IA - COM - [ENG - ACQ] - Boost,59
2021-04-12,IA - COM - [PUR - ACQ],87
2021-04-12,IA - COM - [PUR - ACQ] - DABA,124
2021-04-12,IA - COM - [PUR - RT] - Clients Existants,61
2021-04-12,IA - COM - [PUR - RT] - DPA ex clients,101
2021-04-12,IA - COM - [PUR - RT] - Site & CRM,67
2021-04-12,IA - COM - [VID - ACQ],45
2021-04-12,criteo_audience_tv,83
2021-04-12,criteo_lower_funnel,72
2021-04-12,criteo_mid_funnel,21
2021-04-12,criteo_seg_occasionnels,16
2021-04-13,CH - SHP - All Products,15
2021-04-13,FR - DSA - Page Feed - Product,390
2021-04-13,FR - SHP - AB - Beaute & Hygiene - Smart,119
2021-04-13,FR - SHP - AB - Enfant,5
2021-04-13,FR - SHP - AB - Entretien,51
2021-04-13,FR - SHP - AB - Epicerie Salée,45
2021-04-13,FR - SHP - AB - Epicerie Sucrée,24
2021-04-13,FR - SHP - AB - Extérieur,1
2021-04-13,FR - SHP - AB - Maison - Smart,161
2021-04-13,FR - SHP - AB - Santé & Bien-être - Smart,138
2021-04-13,FR - SHP - AB - Top Marge - Smart,33
2021-04-13,FR - SHP - All Products,55
2021-04-13,FR - SHP - All Products - Smart,782
2021-04-13,FR - SHP - Couche - Smart,41
2021-04-13,FR - TXT - B - Marques,195
